ap,ep,sinip,astar,iz
3.0274,0.0856,0.2121,0.054,0.05
2.9961,0.0786,0.1746,0.103,0.01
2.3745,0.1519,0.1513,0.143,0
3.0485,0.1163,0.1601,0.081,0.03
3.1172,0.0293,0.1852,-0.053,0.05
3.1169,0.1382,0.2782,-0.071,-0.06
2.7359,0.0375,0.0895,-0.026,0.09
2.9772,0.1522,0.1777,0.019,0.24
2.3901,0.1723,0.0658,0.165,-0.01
2.671,0.1724,0.2032,-0.142,0.06
2.6364,0.1441,0.2281,0.143,-0.01
2.364,0.1781,0.1612,0.174,0.03
3.0576,0.0741,0.1652,0.023,0.06
2.4468,0.1734,0.0782,0.179,0.01
2.3115,0.1448,0.0703,-0.035,0.06
2.771,0.0501,0.0683,-0.089,0.04
2.5982,0.168,0.1969,0.121,-0.01
2.3347,0.1483,0.1582,0.192,0.07
3.1332,0.1646,0.2519,0.01,0.12
2.6322,0.1719,0.2053,-0.058,-0.02
2.9932,0.065,0.1721,0.018,-0.01
2.9758,0.0792,0.1883,0.009,-0.02
2.6013,0.2488,0.2166,0.125,-0.05
2.6627,0.158,0.2236,0.17,-0.02
3.3871,0.0368,0.1054,0.077,0.18
2.8963,0.2957,0.2287,0.014,0.03
2.7647,0.0978,0.1226,-0.031,0.01
2.9431,0.1131,0.1312,-0.035,0.01
2.9016,0.0575,0.0327,0.134,-0.03
3.1571,0.1415,0.0275,-0.115,-0.03
3.1562,0.1667,0.0199,-0.107,0.04
2.7932,0.1969,0.1373,-0.142,0.1
3.1784,0.0962,0.2405,-0.147,0.12
3.1684,0.0439,0.2033,0.063,0.12
2.5903,0.1763,0.2224,0.139,-0.02
2.3215,0.0911,0.1163,0.116,-0.15
3.1171,0.0792,0.1318,0.077,0.17
3.1774,0.0911,0.2803,-0.004,0.01
2.892,0.0397,0.0375,0.157,-0.07
3.0033,0.0858,0.1755,0.014,0.07
2.6506,0.1682,0.202,-0.129,0.13
2.6759,0.1975,0.2447,0.13,-0.05
3.0943,0.0713,0.1613,0.094,0.05
2.7436,0.0628,0.0768,0.161,0.03
2.337,0.1974,0.1287,-0.138,0.02
2.305,0.1742,0.0933,-0.062,-0.01
3.0602,0.103,0.2016,-0.022,0
2.7923,0.0747,0.0732,0.13,-0.06
3.0655,0.0202,0.1779,0.241,0.02
3.038,0.1403,0.1802,-0.058,-0.05
2.7588,0.1117,0.0612,-0.031,0.04
2.6012,0.0903,0.1653,-0.044,0.07
3.1571,0.2118,0.2602,0.143,-0.09
3.1079,0.0966,0.2219,-0.004,-0.05
2.2398,0.1392,0.0652,0.219,-0.08
2.7044,0.1121,0.0765,0.108,0.07
2.5961,0.1534,0.2428,0.148,-0.1
2.9848,0.0817,0.1753,0.01,0.03
2.4577,0.0578,0.0871,0.215,-0.09
2.5642,0.1024,0.2572,0.112,-0.03
2.5774,0.1012,0.2651,0.117,0.1
2.759,0.1055,0.2992,0.018,0.06
2.5541,0.1358,0.2354,0.179,-0.1
2.5441,0.0808,0.2488,0.148,-0.06
3.1573,0.2077,0.2766,0.17,0.06
2.5929,0.1535,0.2326,0.094,-0.02
2.6376,0.1335,0.2418,0.156,0.05
2.6609,0.1817,0.2321,0.13,0.02
2.8402,0.1783,0.2436,0.13,-0.14
3.1332,0.1646,0.2519,-0.004,0.2
3.1794,0.2196,0.2474,0.005,0.13
2.668,0.1575,0.2301,0.107,-0.01
2.3772,0.1853,0.0143,0.103,-0.01
2.4235,0.1231,0.1959,-0.062,-0.04
2.7943,0.1692,0.1664,-0.08,0.09
3.217,0.1476,0.2283,-0.115,0.06
2.845,0.2232,0.2478,-0.182,0.11
3.1774,0.0911,0.2803,-0.066,0.01
3.1776,0.1046,0.1484,-0.004,0.02
2.795,0.1963,0.1353,-0.178,0.08
2.6734,0.1621,0.1621,0.107,0.06
2.892,0.0397,0.0375,0.081,0
2.8719,0.0893,0.0282,0.041,-0.01
3.0989,0.1591,0.025,-0.142,-0.01
3.1514,0.1655,0.0146,-0.142,0.02
2.8142,0.0717,0.1231,-0.102,-0.06
3.0033,0.0858,0.1755,0.054,-0.04
3.1557,0.1073,0.1113,-0.116,0.04
2.6759,0.1975,0.2447,0.09,-0.08
2.6816,0.0605,0.1516,0.138,-0.02
2.305,0.1742,0.0933,-0.062,-0.01
2.4008,0.1268,0.1073,0.134,-0.24
3.0602,0.103,0.2016,-0.103,0.13
2.9857,0.0869,0.1871,0.063,-0.04
2.2419,0.0961,0.0641,0.152,-0.38
3.0655,0.0202,0.1779,0.183,-0.04
2.9227,0.0733,0.0416,0.134,0
3.038,0.1403,0.1802,-0.142,0.02
2.5985,0.1246,0.2307,0.192,-0.04
2.7742,0.0087,0.194,-0.036,0.07
3.1079,0.0966,0.2219,-0.026,0.1
2.2398,0.1392,0.0652,0.139,-0.01
2.9848,0.0817,0.1753,0.089,-0.06
2.1511,0.0975,0.0226,0.187,-0.09
2.9942,0.0848,0.1759,0.072,-0.03
2.7475,0.0964,0.1337,0.018,0.07
3.1031,0.1228,0.1124,0.05,0.01
3.2321,0.0732,0.2679,0.049,0.16
3.1035,0.1913,0.2768,0.219,0.09
3.2005,0.0495,0.2329,-0.08,-0.01
2.7758,0.1209,0.2208,-0.058,0.07
2.6521,0.1693,0.2615,-0.12,0.19
2.5541,0.1358,0.2354,0.161,-0.06
3.1573,0.2077,0.2766,0.197,0.13
2.554,0.1551,0.2468,0.125,0
3.046,0.0444,0.1837,0.032,0.07
2.6784,0.1528,0.0686,0.188,-0.08
3.0067,0.235,0.0331,-0.12,-0.03
2.3745,0.1519,0.1513,0.112,-0.06
3.1172,0.0293,0.1852,-0.084,0.13
2.7359,0.0375,0.0895,-0.031,0.08
2.9772,0.1522,0.1777,0.068,0.01
2.8751,0.1155,0.1849,0.183,-0.09
2.3901,0.1723,0.0658,0.147,0.02
3.0767,0.1664,0.0169,-0.107,-0.04
2.7617,0.1279,0.1576,0.165,-0.03
2.364,0.1781,0.1612,0.196,0.02
3.0576,0.0741,0.1652,0.018,0
2.3115,0.1448,0.0703,-0.062,0.06
2.2475,0.1233,0.0867,0.179,0.01
2.771,0.0501,0.0683,-0.124,0.02
2.7467,0.1501,0.1003,-0.071,0.08
3.3456,0.0193,0.1424,0.081,0.14
2.916,0.0533,0.0353,0.09,-0.02
2.9889,0.0496,0.1665,0.05,-0.03
2.8801,0.1047,0.186,0.098,0.04
2.607,0.1472,0.227,0.152,-0.03
3.0163,0.0451,0.1778,-0.018,0.07
3.1679,0.0538,0.1457,0.027,0.23
3.0009,0.0528,0.0375,0.019,-0.06
3.1405,0.0958,0.2752,-0.04,0.04
2.9932,0.065,0.1721,0.027,0.04
2.8381,0.0516,0.0365,0.125,-0.01
2.6627,0.158,0.2236,0.112,0.03
3.3871,0.0368,0.1054,0.045,0.15
2.6225,0.1511,0.2483,0.215,-0.02
2.6129,0.1268,0.2336,0.166,-0.05
3.2047,0.2062,0.2438,0.014,0.08
3.2212,0.1369,0.2253,0.063,0.13
2.5928,0.1443,0.1978,0.125,-0.03
3.1809,0.1093,0.2308,-0.147,-0.03
3.0332,0.1872,0.2064,0.085,0.03
3.0818,0.2553,0.151,-0.129,-0.05
2.5799,0.1691,0.1322,0.125,-0.02
3.0427,0.0663,0.1573,0.076,0.06
2.364,0.0915,0.1176,0.09,-0.21
3.1344,0.1591,0.1991,-0.093,-0.03
2.4352,0.2266,0.1113,0.13,-0.08
3.1708,0.1691,0.0905,-0.107,-0.05
3.1724,0.0562,0.2697,-0.04,0.01
2.6818,0.0501,0.101,0.21,-0.09
3.1686,0.1562,0.1443,-0.133,0.01
3.3943,0.1956,0.1823,-0.013,0.04
2.6698,0.0791,0.0534,0.117,0.05
2.4749,0.1472,0.0355,0.116,-0.06
2.8772,0.0409,0.0376,0.13,-0.05
2.7838,0.1322,0.139,0.188,0.02
3.1801,0.1508,0.0179,-0.102,-0.01
2.2147,0.1414,0.0707,0.223,-0.14
2.9898,0.0849,0.1821,0.089,0.04
2.9897,0.0746,0.1745,0.103,0.03
3.1271,0.1143,0.2818,-0.053,0.07
2.5993,0.0771,0.2572,0.179,-0.01
2.7038,0.1211,0.226,0.143,0.07
3.062,0.1409,0.1073,-0.142,0
3.1812,0.1142,0.0948,-0.147,0.04
3.0774,0.1239,0.0468,-0.098,0.01
3.0708,0.2899,0.1609,0.005,0.21
